date,close,open,low,high,pctChg,volume,isST
2000-01-04,5.8767092400,5.5616559000,5.5616559000,5.8895685600,3.393667,441712,0
2000-01-05,5.8702795800,5.8124126400,5.7416863800,5.9024278800,-0.109412,391770,0
2000-01-06,5.9667244800,5.7545457000,5.6323821600,6.0438804000,1.642931,554167,0
2000-01-07,6.4296600000,6.0953176800,5.7866940000,6.4296600000,7.758624,2936258,0
2000-01-10,6.8154396000,6.1724736000,6.1724736000,6.8797362000,6.000004,3856254,0
2000-01-11,6.6932760600,6.9118845000,6.3653634000,6.9440328000,-1.792458,2875339,0
2000-01-12,6.5003862600,6.1338956400,6.1338956400,6.8025802800,-2.881846,1766241,0
2000-01-13,6.3717930600,6.5261049000,6.1596142800,6.5261049000,-1.978238,1233210,0
2000-01-14,6.2367702000,6.3589337400,6.0117321000,6.4103710200,-2.119072,911365,0
2000-01-17,6.3460744200,6.1210363200,6.1081770000,6.3589337400,1.752578,509770,0
2000-01-18,6.3460744200,6.3653634000,6.1724736000,6.4425193200,0.000000,553946,0
2000-01-19,6.3332151000,6.3460744200,6.1081770000,6.3653634000,-0.202629,529397,0
2000-01-20,6.3074964600,6.3203557800,6.2046219000,6.3589337400,-0.406091,491196,0
2000-01-21,6.5132455800,6.3074964600,6.3074964600,6.6225498000,3.261974,1381536,0
2000-01-24,6.7961506200,6.6289794600,6.5453938800,6.8282989200,4.343530,2290269,0
2000-01-25,6.6289794600,6.8797362000,6.6289794600,6.9440328000,-2.459785,1513474,0
2000-01-26,6.6354091200,6.5904015000,6.4296600000,6.6868464000,0.096986,753813,0
2000-01-27,6.5453938800,6.6868464000,6.4682379600,6.8218692600,-1.356583,911774,0
2000-01-28,6.7382836800,6.9440328000,6.5582532000,6.9440328000,2.946947,1393857,0
2000-02-14,7.2397971600,7.0661963400,6.8154396000,7.2655158000,7.442755,2701965,0
2000-02-15,6.8090099400,7.3941090000,6.7511430000,7.3941090000,-5.950267,3479308,0
2000-02-16,6.6739870800,6.7768616400,6.4296600000,6.8668768800,-1.983003,2067049,0
2000-02-17,6.3460744200,6.6739870800,6.2689185000,6.8025802800,-4.913297,2309947,0
2000-02-18,6.2367702000,6.3010668000,6.1596142800,6.3010668000,-1.722392,1165153,0
2000-02-21,6.5132455800,6.2560591800,6.1596142800,6.6739870800,4.432993,1907238,0
2000-02-22,6.5453938800,6.4939566000,6.4296600000,6.6932760600,0.493585,2190649,0
2000-02-23,6.9183141600,6.5196752400,6.4939566000,7.0597666800,5.697445,5001509,0
2000-02-24,7.3555310400,7.0726260000,6.9440328000,7.5998581200,6.319696,12592556,0
2000-02-25,7.1883598800,7.4455462800,7.0083294000,7.5227022000,-2.272721,6436389,0
2000-02-28,7.3683903600,7.2012192000,7.2012192000,7.6512954000,2.504470,5814889,0
2000-02-29,7.0919149800,7.4455462800,6.9440328000,7.4905539000,-3.752184,3524633,0
2000-03-01,7.1240632800,7.1047743000,6.6482684400,7.3105234200,0.453311,2928626,0
2000-03-02,6.8797362000,7.0919149800,6.8154396000,7.1047743000,-3.429604,2330654,0
2000-03-03,7.0469073600,6.9440328000,6.8540175600,7.0726260000,2.429909,2517846,0
2000-03-06,6.7189947000,7.0726260000,6.6868464000,7.1433522600,-4.653286,1544239,0
